DAUID,target_priority
35201511,0.5493276781661093
35201512,0.7004568571818526
35201513,0.6651773978104276
35201514,0.6078479849522052
35201515,0.6424799646506317
35201516,0.5757880222165609
35202000,0.6951942242882261
35202001,0.7479451430563145
35202002,0.7275526367570213
35202003,0.7694855539024836
35201587,0.601041681497326
35203472,0.7231553249460563
35203640,0.5754508845318272
35203641,0.5840539896965828
35203649,0.39662464049594015
35203542,0.8058429462716218
35203543,0.7239413304987857
35203544,0.7309236687977446
35203545,0.7154173488464309
35203546,0.5913391209397948
35203694,0.5842549621728796
35203695,0.5814266919794503
35203696,0.6001165918028083
35203697,0.5879501205644867
35203698,0.4806561708173332
35203699,0.6173189045517736
35203700,0.3303388139401301
35200244,0.7536572701676412
35200245,0.7517040918015966
35200246,0.7328490904777105
35200249,0.7713813019776793
35200250,0.7158296428916013
35200251,0.7284099087577954
35200252,0.7154508916653124
35200253,0.8253303469578814
35200254,0.7035108388214053
35200467,0.6576581745255752
35200468,0.777521097181718
35200469,0.6429410278468708
35200470,0.7935583206653632
35203794,0.35854895286304456
35203796,0.5201371539449208
35203798,0.38587334513247984
35203799,0.3964362749367912
35203800,0.3668646770317501
35203801,0.17004050114037228
35203889,0.43368992572226156
35203890,0.5378534347827735
35203891,0.6471754226736934
35203892,0.4222308408692604
35203893,0.4679272496260009
35203895,0.6365108102604881
35203897,0.47820886615080105
35203898,0.4488767642153895
35203899,0.5766278957050284
35203939,0.7501134401196907
35203940,0.7198697057333122
35203802,0.2777820153655875
35203803,0.3260669860114951
35203807,0.5471464977981093
35203808,0.3100845402617946
35203809,0.42564077262763766
35203810,0.3628027326995244
35203811,0.3370745813435794
35203812,0.3566030615184056
35203813,0.35686386563745154
35203815,0.5719704607766954
35203816,0.5315745949280145
35203817,0.46304849231047623
35203650,0.35781780561975274
35203651,0.5560706011636524
35203652,0.5836329480704779
35203653,0.5034980703183529
35203943,0.5156003918098745
35203945,0.7602252934277303
35203692,0.5043314305660452
35203693,0.6288939218444046
35204001,0.4715253473388044
35204003,0.15768110610349112
35204004,0.6765951484109342
35204005,0.33492255301270407
35204006,0.6226366973672608
35204007,0.21798738830285236
35204009,0.6317795775047764
35203654,0.5529666213249175
35203655,0.5850813589179782
35203955,0.5739261422094895
35203958,0.47185654540550864
35203959,0.7496049579418533
35203701,0.3656050974801141
35203703,0.5759166334328241
35203704,0.5306099898863436
35204019,0.7139118936271309
35204020,0.6975594114876297
35204021,0.7711377639051877
35204022,0.8517193523505009
35204024,0.3832506178856153
35204026,0.6645207301279171
35204027,0.6462259232386282
35204010,0.946035179712588
35204011,0.5450323725750176
35204012,0.672258909060362
35200453,0.44218289641027075
35200454,0.4267228147220452
35200455,0.47349829930666865
35200456,0.6244043440435535
35200459,0.67741106489442
35200460,0.6914297352433578
35200463,0.6234580620347665
35200464,0.6761737118818294
35200465,0.6403966192961837
35200466,0.5889359757569579
35200935,0.6407476030910699
35200936,0.6422646813521959
35200937,0.6396585360254177
35200938,0.6008562539057285
35200939,0.7243218547973264
35203788,0.33080957240530046
35203789,0.1644323901131676
35203790,0.36238177060189614
35203791,0.3889586432564539
35203792,0.6833051929256555
35203946,0.865021520238501
35203947,0.7144135590111581
35203948,0.7649364930027065
35203951,0.7040788899647505
35203953,0.626620284595024
35203954,0.9023247503442244
35203174,0.08212333321202754
35203175,0.6969224730516164
35203176,0.7958001432522985
35203177,0.6578052687235993
35203183,0.5563078351671223
35203184,0.6458956794766378
35204013,0.5351809308921088
35204014,0.776496998276374
35204015,0.5503705673181892
35204018,0.8538906484739761
35203260,0.46174477501894606
35203261,0.35410400762633465
35203263,0.4961733446454916
35203264,0.5038825265818769
35203265,0.5582598564701868
35203266,0.5740201998817985
35203267,0.5776947765028203
35203268,0.5828194070448623
35203269,0.47323643364992074
35203270,0.5532825537123736
35203271,0.5655407984307509
35203273,0.6033374996690376
35203274,0.4986817988174281
35203275,0.6336942596922502
35203276,0.5558801644188981
35203277,0.21498903294645197
35203278,0.4970493632428775
35200940,0.7769443236777754
35200941,0.6776072219010896
35200942,0.6854062124049339
35200943,0.5856356567982415
35200944,0.7396534829750457
35200945,0.6566796582320144
35200946,0.7229051599376188
35200949,0.6446133648525146
35200950,0.7063533962621042
35200951,0.7319671294133414
35200952,0.7501877256113554
35200953,0.6370950377948866
35200954,0.5982120447641653
35200955,0.5526871058285454
35200956,0.6882189431573443
35200957,0.5996025979480576
35200958,0.6063565997273984
35200959,0.572488418693515
35200050,0.7715664284302354
35204098,0.650245890659583
35204100,0.7144213937953602
35204101,0.7749180755697548
35204103,0.6685305438400446
35204105,0.7455289882267438
35204106,0.773679452352583
35204107,0.7357329580708587
35203185,0.5853330397424578
35203190,0.6301060192146302
35203191,0.5917224800481656
35203192,0.5446563473020717
35203193,0.5748799123165864
35203194,0.4810899091383291
35203195,0.5688370921584474
35203196,0.4271720281663168
35203197,0.5395269939207561
35203198,0.4730788768151415
35203199,0.6038279835558198
35203200,0.5207699243906226
35203201,0.5140605645531628
35203202,0.5863681948496275
35203203,0.493061019989049
35203204,0.5190256517257514
35203450,0.7482992322278841
35203451,0.7865663919016065
35203452,0.7797433381388148
35203458,0.6816860017531908
35203461,0.7135796808720997
35203462,0.6783645492462446
35203279,0.44024844584159195
35203280,0.4109060745994855
35203281,0.549667913606752
35203282,0.5635284151548097
35203532,0.8408476257333068
35203533,0.6574954525126675
35203534,0.6810441409309678
35203535,0.6449530534275633
35203536,0.6805673660158775
35203537,0.8054743384432476
35203538,0.7168229296629713
35203539,0.7472629158227312
35203540,0.5407750735357887
35203541,0.8915396293817186
35200051,0.7303544805711737
35200052,0.844969444210508
35200053,0.7177760728531538
35200054,0.7327581826526708
35200055,0.6879341548206163
35200239,0.6554460403886399
35200242,0.7513059322341006
35200243,0.7562541184831187
35203386,0.6863251552510806
35203387,0.7038683878009947
35203388,0.751020281801611
35203389,0.8106424525868533
35203391,0.6727974097602636
35203392,0.8939076592264378
35203393,0.6788984835975476
35203793,0.37641988764104695
35203463,0.7339872646897949
35203465,0.6508558054767618
35203466,0.7062610035990828
35203467,0.7307937116515676
35203468,0.7175562219169297
35203469,0.7844381076386985
35203470,0.7659053056913958
35203471,0.7934446946289934
35201629,0.5858078704235711
35201630,0.6178287255948026
35201631,0.7441647538307247
